Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Überfallraptor - Satellitenkanonen-Falke,Raidraptor - Satellite Cannon Falcon,Monster,Xyz,Finsternis,Geflügeltes Ungeheuer,8,3000,2000,2
Buntäugiger Absolutdrache,Odd-Eyes Absolute Dragon,Monster,Xyz,Wasser,Drache,7,2800,2500,1
Nummer 28: Titanische Motte,Number 28: Titanic Moth,Monster,Xyz,Feuer,Insekt,7,2400,2200,3
"Voloferniges, der finsterste Drachen-Untergangsreiter ","Voloferniges, the Darkest Dragon Doomrider",Monster,Xyz,Finsternis,Drache,7,2500,2100,1
"Beatrice, die ewige Dame ","Beatrice, Lady of the Eternal",Monster,Xyz,Licht,Fee,6,2500,2800,5
Insektor Exa-Käfer ,Inzektor Exa-Beetle,Monster,Xyz,Finsternis,Insekt,6,1000,1000,1
Nummer 94: Kristallnull ,Number 94: Crystalzero,Monster,Xyz,Wasser,Krieger,5,2200,1600,1
Nummer 72: Shogi-Turm ,Number 72: Shogi Rook,Monster,Xyz,Erde,Ungeheuer-Krieger,6,2500,1200,1
Aufzieh-Arsenal Zenmeioh ,Wind-Up Arsenal Zenmaioh,Monster,Xyz,Wind,Maschine,5,2600,1900,3
ZW - Drachenhellebarde,ZW - Dragonic Halberd,Monster,Xyz,Finsternis,Drache,5,3000,1200,1
Voll gepanzerter Schwarzstrahl-Lanzenträger ,Full Armored Black Ray Lancer,Monster,Xyz,Wasser,Ungeheuer-Krieger,4,2100,600,2
Zeitstern-Magier ,Timestar Magician,Monster,Xyz,Finsternis,Hexer,4,2400,1200,3
Pendransaktion ,Pendransaction,Monster,Xyz,Wasser,Cyberse,4,2000,1000,2
Fallenstellerin Pinguicula ,Traptrix Pinguicula,Monster,Xyz,Erde,Pflanze,4,2500,300,3
Nummer 39: Utopia ,Number 39: Utopia,Monster,Xyz,Licht,Krieger,4,2500,2000,4
Blutroter Rittervampir Bram ,Crimson Knight Vampire Bram,Monster,Xyz,Finsternis,Zombie,5,2500,0,2
Getriebriagetrieberiese XG ,Geargiagear Gigant XG,Monster,Xyz,Erde,Maschine,3,2500,1300,1
Fröhliche Melffys ,Joyous Melffys,Monster,Xyz,Erde,Ungeheuer,2,2000,500,1
Albtraumritter Zerberus ,Knightmare Cerberus,Monster,Link,Erde,Unterweltler,2,1600,-,2
Dekodier-Sprecher erweitert ,Decode Talker Extended,Monster,Link,Finsternis,Cyberse,3,2300,-,1
Dekodier-Sprecher ,Decode Talker,Monster,Link,Finsternis,Cyberse,3,2300,-,3
Magidolce Frische Schwestorte ,Madolche Fresh Sistart,Monster,Link,Erde,Fee,2,1500,-,2
LANphorhynchus ,LANphorhynchus,Monster,Link,Licht,Cyberse,2,1200,-,1
Gerümpelverbinder ,Junk Connector,Monster,Link,Finsternis,Krieger,2,1700,-,1
"Bloom Harmonist, die musikalische Komponistin ",Bloom Harmonist the Melodious Composer,Monster,Link,Licht,Fee,2,1000,-,1
Käferkavallerie Panzerhorn ,Beetrooper Armor Horn,Monster,Link,Erde,Insekt,2,1000,-,3
Streifenpolizistin aus der Unterwelt ,Beat Cop from the Underworld,Monster,Link,Finsternis,Unterweltler,2,1000,-,1
Sonnenranken-Wache ,Sunvine Gardna,Monster,Link,Erde,Pflanze,1,600,-,3
Abgrundschauspieler - Hyperintendant ,Abyss Actor - Hyper Director,Monster,Link,Finsternis,Unterweltler,1,800,-,1
Sonnenranken-Heiler ,Sunvine Healer,Monster,Link,Erde,Pflanze,1,600,-,1
Streichbuben Miau-Miau-Mu ,Prank-Kids Meow-Meow-Mu,Monster,Link,Erde,Fels,1,1000,-,1
"Yuki-Onna, die Eiszapfen-Mayakashi ","Yuki-Onna, the Icicle Mayakashi",Monster,Link,Wasser,Zombie,3,2400,-,2
Saryuja-Schädelschrecken ,Saryuja Skull Dread,Monster,Link,Erde,Drache,4,2800,-,1
Ghoti aus dem tiefen Jenseits ,Ghoti of the Deep Beyond,Monster,Synchro,Wasser,Fisch,10,?,0,1
Sternschnuppen-Drache ,Shooting Star Dragon,Monster,Synchro,Wind,Drache,10,3300,2500,2
"Odin, Vater der Asen ","Odin, Father of the Aesir",Monster,Synchro,Licht,Fee,10,4000,3500,2
Werkzeug-Tapferdrache ,Power Tool Braver Dragon,Monster,Synchro,Erde,Maschine,9,2500,2300,2
Lavalval-Exlord ,Lavalval Exlord,Monster,Synchro,Feuer,Krieger,8,2900,200,2
P.U.N.K. JAM Drachen-Drive ,P.U.N.K. JAM Dragon Drive,Monster,Synchro,Erde,Psi,8,2700,2400,3
